make_code,name,body_type,year_from,year_to
TOY,Hilux,pickup,1997,
TOY,Corolla,sedan,1990,
TOY,Corolla Quest,sedan,2014,
TOY,Fortuner,suv,2006,
TOY,Land Cruiser 70,suv,1990,
TOY,Land Cruiser Prado,suv,1996,
TOY,Land Cruiser 200,suv,2008,2021
TOY,Land Cruiser 300,suv,2021,
TOY,HiAce,van,1990,
TOY,Quantum,van,2005,
TOY,Avanza,mpv,2006,
TOY,Etios,hatchback,2012,2021
TOY,Yaris,hatchback,2005,
TOY,RAV4,suv,2000,
TOY,Corolla Cross,suv,2021,
TOY,Vitz,hatchback,1999,
TOY,Raum,mpv,1997,2011
TOY,Wish,mpv,2003,2017
TOY,Probox,wagon,2002,
VW,Polo,hatchback,2002,
VW,Polo Vivo,hatchback,2010,
VW,Golf,hatchback,1992,
VW,Tiguan,suv,2008,
VW,T-Cross,suv,2019,
VW,Amarok,pickup,2010,
VW,Caddy,van,2004,
VW,Transporter,van,1991,
VW,Jetta,sedan,1992,2018
NIS,NP200,pickup,2008,
NIS,NP300 Hardbody,pickup,2008,
NIS,Navara,pickup,2005,
NIS,Almera,sedan,2000,
NIS,Micra,hatchback,2003,
NIS,X-Trail,suv,2001,
NIS,Qashqai,suv,2007,
NIS,Patrol,suv,1998,
NIS,Sentra,sedan,1992,2013
NIS,Tiida,hatchback,2006,2013
NIS,Note,mpv,2005,
NIS,March,hatchback,2002,
NIS,AD Van,wagon,1999,
FOR,Ranger,pickup,2000,
FOR,EcoSport,suv,2013,
FOR,Figo,hatchback,2010,
FOR,Fiesta,hatchback,2002,2021
FOR,Focus,hatchback,2000,2021
FOR,Everest,suv,2009,
FOR,Transit,van,2013,
ISU,KB Series,pickup,1990,2018
ISU,D-Max,pickup,2018,
ISU,MU-X,suv,2017,
ISU,NPR,truck,1995,
HYU,i10,hatchback,2008,
HYU,Grand i10,hatchback,2014,
HYU,i20,hatchback,2009,
HYU,Accent,sedan,2000,
HYU,Creta,suv,2017,
HYU,Tucson,suv,2005,
HYU,H-100,pickup,2004,
HYU,H-1,van,2008,
KIA,Picanto,hatchback,2004,
KIA,Rio,hatchback,2003,
KIA,Sportage,suv,2005,
KIA,K2700,pickup,2000,
MB,C-Class,sedan,1994,
MB,E-Class,sedan,1996,
MB,Sprinter,van,1998,
MB,Vito,van,1999,
BMW,3 Series,sedan,1992,
BMW,5 Series,sedan,1996,
BMW,X3,suv,2004,
BMW,X5,suv,2000,
HON,Fit,hatchback,2001,
HON,Civic,sedan,1996,
HON,CR-V,suv,1997,
HON,Ballade,sedan,2011,
MAZ,Mazda2,hatchback,2007,
MAZ,Mazda3,sedan,2004,
MAZ,CX-5,suv,2012,
MAZ,BT-50,pickup,2006,
MAZ,Demio,hatchback,1996,
MAZ,Familia,sedan,1990,2004
MIT,Triton,pickup,2006,
MIT,Pajero,suv,1991,2021
MIT,Pajero Sport,suv,2008,
MIT,ASX,suv,2010,
MIT,Colt,pickup,1996,2012
MIT,Canter,truck,1990,
SUZ,Swift,hatchback,2005,
SUZ,Ertiga,mpv,2018,
SUZ,Jimny,suv,1998,
SUZ,Baleno,hatchback,2016,
REN,Kwid,hatchback,2016,
REN,Sandero,hatchback,2009,
REN,Duster,suv,2013,
REN,Clio,hatchback,1998,2019
HAV,H2,suv,2015,
HAV,Jolion,suv,2021,
HAV,H6,suv,2017,
GWM,P-Series,pickup,2020,
GWM,Steed,pickup,2009,
CHY,Tiggo 4 Pro,suv,2021,
CHY,Tiggo 7 Pro,suv,2021,
CHY,Tiggo 8 Pro,suv,2021,
MAH,Pik Up,pickup,2007,
MAH,Scorpio,suv,2004,
MAH,Bolero,pickup,2004,
DAT,Go,hatchback,2014,2022
