make_code,model_name,name,engine_code,engine_size_cc,fuel_type,power_kw,transmission,drive,year_from,year_to
TOY,Hilux,2.8 GD-6 4x4,1GD-FTV,2755,diesel,150,manual,4x4,2016,2020
TOY,Hilux,2.8 GD-6 4x4 AT,1GD-FTV,2755,diesel,165,automatic,4x4,2020,
TOY,Hilux,2.4 GD-6 4x2,2GD-FTV,2393,diesel,110,manual,4x2,2016,
TOY,Hilux,2.4 GD-6 4x4,2GD-FTV,2393,diesel,110,manual,4x4,2016,
TOY,Hilux,3.0 D-4D 4x4,1KD-FTV,2982,diesel,120,manual,4x4,2005,2016
TOY,Hilux,2.5 D-4D 4x2,2KD-FTV,2494,diesel,75,manual,4x2,2005,2016
TOY,Hilux,2.7 VVTi 4x2,2TR-FE,2694,petrol,118,manual,4x2,2005,
TOY,Fortuner,2.8 GD-6 4x4,1GD-FTV,2755,diesel,150,automatic,4x4,2016,
TOY,Fortuner,2.4 GD-6 4x2,2GD-FTV,2393,diesel,110,automatic,4x2,2016,
TOY,Fortuner,3.0 D-4D 4x4,1KD-FTV,2982,diesel,120,manual,4x4,2006,2016
TOY,Corolla,1.8 CVT,2ZR-FE,1798,petrol,103,cvt,fwd,2014,
TOY,Corolla Quest,1.6,1ZZ-FE,1794,petrol,90,manual,fwd,2014,2020
TOY,Quantum,2.7 VVTi,2TR-FE,2694,petrol,118,manual,rwd,2005,
TOY,Quantum,2.5 D-4D,2KD-FTV,2494,diesel,75,manual,rwd,2005,2019
TOY,Vitz,1.3,2NZ-FE,1298,petrol,63,automatic,fwd,1999,2010
TOY,Vitz,1.0,1KR-FE,996,petrol,51,automatic,fwd,2005,
TOY,Land Cruiser 70,4.2 D,1HZ,4164,diesel,96,manual,4x4,1990,
NIS,NP200,1.6 8v,K7M,1598,petrol,64,manual,fwd,2008,
NIS,NP200,1.5 dCi,K9K,1461,diesel,63,manual,fwd,2009,
NIS,NP300 Hardbody,2.4 4x2,KA24E,2389,petrol,105,manual,4x2,2008,
NIS,NP300 Hardbody,2.7 D 4x4,TD27,2663,diesel,72,manual,4x4,2008,
NIS,Navara,2.5 dCi 4x4,YD25DDTi,2488,diesel,140,manual,4x4,2008,2016
FOR,Ranger,2.2 TDCi XL 4x2,P4AT,2198,diesel,88,manual,4x2,2011,2022
FOR,Ranger,3.2 TDCi XLT 4x4,P5AT,3198,diesel,147,automatic,4x4,2011,2022
FOR,Ranger,2.0 BiTurbo Wildtrak,EcoBlue2.0,1996,diesel,157,automatic,4x4,2019,
ISU,KB Series,KB250 D-TEQ,4JK1,2499,diesel,100,manual,4x2,2013,2018
ISU,KB Series,KB300 D-TEQ 4x4,4JJ1,2999,diesel,130,manual,4x4,2013,2018
ISU,D-Max,3.0 Ddi 4x4,4JJ1,2999,diesel,140,automatic,4x4,2021,
VW,Polo Vivo,1.6 Comfortline,BTS,1598,petrol,77,manual,fwd,2010,
VW,Polo,1.2 TSI,CJZA,1197,petrol,66,manual,fwd,2015,2022
VW,Amarok,2.0 BiTDI 4Motion,CLLA,1968,diesel,132,automatic,4x4,2011,2022
MIT,Triton,2.4 Di-DC 4x4,4N15,2442,diesel,133,automatic,4x4,2016,
MIT,Colt,2800 TDi 4x4,4M40,2835,diesel,92,manual,4x4,1998,2008
HYU,H-100,2.6 D,D4BB,2607,diesel,58,manual,rwd,2004,
HON,Fit,1.3,L13A,1339,petrol,63,cvt,fwd,2001,2008
MAZ,Demio,1.3,ZJ-VE,1349,petrol,67,automatic,fwd,2002,2014
HAV,Jolion,1.5T City,GW4B15,1499,petrol,105,automatic,fwd,2021,
GWM,Steed,2.0 WGT,GW4D20,1996,diesel,70,manual,4x2,2012,
